input_length,nam_hidden_sizes,natm_type,nam_activation,dropout,R2,RMSE,MAE,SMAPE
24,[128],Independent,linear,0.1,0.918839202847066,13.198045,7.314349,0.19819155
24,[128],Independent,linear,0.0,0.922491031823491,12.897705,7.3117113,0.20198128
8,[128],Independent,linear,0.1,0.909845358070066,13.899492,7.8118606,0.2066599
8,[128],Time,linear,0.2,0.905666062641879,14.218012,8.076554,0.20827137
24,[128],Feature,linear,0.0,0.919108732883235,13.176112,7.721001,0.20882963
16,[128],Feature,linear,0.1,0.914698662042141,13.524832,7.7146177,0.2089285
16,[128],Independent,linear,0.1,0.917099912573412,13.333109,7.676272,0.20957494
16,[128],Independent,linear,0.2,0.911675569296853,13.762406,7.9766083,0.20978722
16,[128],Feature,linear,0.3,0.911087824624436,13.80812,7.999458,0.21011332
16,[128],Time,linear,0.1,0.912064293343117,13.732087,7.9675937,0.21062255
24,[128],Independent,linear,0.3,0.91448620965148,13.547356,7.980011,0.21094424
24,[128],Feature,linear,0.1,0.917928332715148,13.271899,7.7704496,0.2117549
24,[128],Independent,linear,0.2,0.917125760675362,13.336635,7.6897645,0.21179754
24,[128],Time,linear,0.1,0.916283195531667,13.404258,7.8408713,0.21180253
16,[128],Independent,linear,0.0,0.916055321657479,13.416849,7.758008,0.21233135
16,[128],Independent,linear,0.3,0.910045182699731,13.888845,8.202264,0.2132462
24,[128],Feature,linear,0.3,0.913334890843556,13.638248,7.9361672,0.21346092
16,[128],Feature,linear,0.2,0.910725115216931,13.836256,8.008005,0.21356888
16,[128],Feature,exu,0.2,0.892050941770072,15.214699,8.166319,0.21462175
16,[128],Feature,linear,0.0,0.916687004764669,13.366273,7.9156966,0.21524729
24,[128],Time,linear,0.0,0.914894362820147,13.514987,8.126432,0.21570751
24,[128],Feature,linear,0.2,0.910735419743577,13.841273,8.219965,0.21814664
8,[128],Independent,linear,0.0,0.910693476397918,13.83396,8.187133,0.21907325
8,[128],Time,linear,0.3,0.906199835249951,14.17773,8.224285,0.2194449
8,[128],Independent,linear,0.2,0.902107527170877,14.483701,8.424215,0.21989541
8,[128],Feature,linear,0.0,0.911332965883508,13.78434,8.1012945,0.2199215
8,[128],Feature,linear,0.2,0.908133911501858,14.030803,8.333925,0.22020198
8,[128],Feature,linear,0.1,0.904745926238569,14.287186,8.504547,0.22055353
8,[128],Time,linear,0.0,0.905527944858829,14.228416,8.498292,0.2206192
8,[128],Time,linear,0.1,0.905314430394,14.244487,8.360417,0.22097702
8,[128],Independent,linear,0.3,0.901849806704549,14.502753,8.6898,0.22139756
8,[128],Independent,exu,0.1,0.87172670479525,16.579561,8.856825,0.22163104
8,[128],Feature,linear,0.3,0.901029905813387,14.563203,8.735706,0.22210348
16,[128],Feature,exu,0.1,0.889563439972767,15.388999,8.700115,0.22261831
16,[128],Time,linear,0.2,0.907488466065367,14.08484,8.546591,0.22275436
24,[128],Time,linear,0.2,0.907284591729944,14.1062765,8.672456,0.22323465
8,[128],Independent,exu,0.0,0.86727854099205,16.864578,9.384831,0.22330986
24,[128],Feature,exu,0.0,0.893791917377036,15.097855,8.994219,0.22378634
16,[128],Time,exu,0.0,0.886278836758033,15.616172,8.393585,0.22401278
8,[128],Time,exu,0.0,0.88485170888566,15.708461,8.36554,0.22480597
8,[128],Feature,exu,0.1,0.884372399782198,15.74112,9.243646,0.22509648
16,[128],Feature,exu,0.0,0.892916788543062,15.153559,8.758031,0.22527891
8,[128],Feature,exu,0.2,0.8825369758309209,15.865563,9.214105,0.22561054
16,[128],Time,linear,0.3,0.901155770255582,14.558935,9.034565,0.22906096
16,[128],Independent,exu,0.1,0.876489103056188,16.27446,8.64319,0.2317365
16,[128],Time,linear,0.0,0.904346035007721,14.322059,9.080025,0.23232946
16,[128],Time,exu,0.1,0.88398282652341,15.773027,8.253962,0.2330033
16,[128],Feature,exu,0.3,0.871314101545332,16.611904,9.734714,0.2352846
16,[128],Independent,exu,0.2,0.871692515437851,16.587461,8.898567,0.2357707
8,[128],Time,exu,0.1,0.874511313425926,16.398615,8.586545,0.2362273
24,[128],Independent,exu,0.2,0.870346659595812,16.681238,8.811996,0.23758535
24,[128],Independent,exu,0.0,0.879600214448151,16.074938,8.8870325,0.24067198
16,[128],Independent,exu,0.3,0.869929934522575,16.701006,9.1998005,0.24133833
8,[128],Time,exu,0.2,0.872505545298767,16.52915,8.886613,0.24350886
8,[128],Independent,exu,0.3,0.863966133361621,17.073729,9.477507,0.24412581
24,[128],Time,linear,0.3,0.896748540979823,14.886224,9.681791,0.24452835
16,[128],Independent,exu,0.0,0.874176063202802,16.426142,9.154652,0.2455603
24,[128],Time,exu,0.2,0.875405436500075,16.35257,8.987715,0.24572922
24,[128],Independent,exu,0.3,0.874214022252349,16.430569,9.225526,0.24682789
8,[128],Feature,exu,0.0,0.885333201841281,15.675585,9.637764,0.24741659
24,[128],Time,exu,0.0,0.870412297645032,16.677017,9.4661455,0.24773909
16,[128],Time,exu,0.3,0.860650625277787,17.286476,9.89282,0.24887429
8,[128],Independent,exu,0.2,0.858127740319685,17.436272,9.901395,0.25041652
24,[128],Feature,exu,0.3,0.863561634972325,17.112156,10.569075,0.25263125
24,[128],Time,exu,0.3,0.867305974014382,16.875715,9.87842,0.26547304
8,[128],Time,exu,0.3,0.828646002245757,19.162495,11.899112,0.2672205
24,[128],Time,exu,0.1,0.858765496059256,17.410324,10.893052,0.2704954
24,[128],Independent,exu,0.1,0.870657006315399,16.661263,9.419754,0.2718616
24,[128],Feature,exu,0.1,0.875324288580434,16.357893,10.504976,0.27912083
16,[128],Time,exu,0.2,0.851480504457393,17.846197,11.311614,0.2795729
24,[128],Feature,exu,0.2,0.860987638813405,17.272816,11.534706,0.28741917
8,[128],Feature,exu,0.3,0.783424881847907,21.54315,13.511537,0.29154497
